#TYPE Selected.System.Diagnostics.Process
"Name","Id","Path","MainWindowTitle"
"brave","23288","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","23556","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","23588","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","23800","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","27052","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","31436","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","32404","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","33072","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","34460","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","35164","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","35300","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","36140","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","37116","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","37364","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","39064","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","39928","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","41172","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","41636","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","[9] More rules - BoneBox - 0.2.15 - Brave"
"brave","43144","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","44456","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","44560","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","45296","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","47184","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","47276","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","47784","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","49092","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","49412","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","50040","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","51256","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","51660","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","51904","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","52984","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","53244","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","54228","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","55508","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","55616","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","55976","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","56004","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","57304","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","58960","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"brave","59008","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe",""
"BraveCrashHandler","17024",,""
"BraveCrashHandler64","17040",,""
"chrome","14932","C:\Users\Owner\AppData\Local\ms-playwright\chromium-1208\chrome-win64\chrome.exe",""
"chrome","40676","C:\Users\Owner\AppData\Local\ms-playwright\chromium-1208\chrome-win64\chrome.exe",""
"chrome","43932","C:\Users\Owner\AppData\Local\ms-playwright\chromium-1208\chrome-win64\chrome.exe",""
"chrome","53848","C:\Users\Owner\AppData\Local\ms-playwright\chromium-1208\chrome-win64\chrome.exe",""
"chrome","55284","C:\Users\Owner\AppData\Local\ms-playwright\chromium-1208\chrome-win64\chrome.exe",""
"chrome","55352","C:\Users\Owner\AppData\Local\ms-playwright\chromium-1208\chrome-win64\chrome.exe","Online Community Service - Your Course Page - Google Chrome for Testing"
"chrome","59880","C:\Users\Owner\AppData\Local\ms-playwright\chromium-1208\chrome-win64\chrome.exe",""
"CHXSmartScreen","45796","C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\CHXSmartScreen.exe",""
"conhost","4608","C:\WINDOWS\system32\conhost.exe",""
"conhost","5704",,""
"conhost","6200","C:\WINDOWS\system32\conhost.exe",""
"conhost","9224",,""
"conhost","10440",,""
"conhost","23492","C:\WINDOWS\system32\conhost.exe",""
"conhost","25868","C:\WINDOWS\system32\conhost.exe",""
"conhost","26364","C:\WINDOWS\system32\conhost.exe",""
"conhost","29968","C:\WINDOWS\system32\conhost.exe",""
"conhost","31520","C:\WINDOWS\system32\conhost.exe",""
"conhost","31728","C:\WINDOWS\system32\conhost.exe",""
"conhost","35772","C:\WINDOWS\system32\conhost.exe",""
"conhost","44672","C:\WINDOWS\system32\conhost.exe",""
"conhost","47472","C:\WINDOWS\system32\conhost.exe",""
"conhost","51280","C:\WINDOWS\system32\conhost.exe",""
"conhost","51420","C:\WINDOWS\system32\conhost.exe",""
"conhost","51424","C:\WINDOWS\system32\conhost.exe",""
"conhost","54760","C:\WINDOWS\system32\conhost.exe",""
"conhost","56256","C:\WINDOWS\system32\conhost.exe",""
"conhost","56620","C:\WINDOWS\system32\conhost.exe",""
"conhost","56944","C:\WINDOWS\system32\conhost.exe",""
"conhost","60212","C:\WINDOWS\system32\conhost.exe",""
"CorsairDeviceControlService","13260",,""
"CorsairGamingAudioCfgService64","4568",,""
"crashpad_handler","20524","C:\Program Files\Corsair\Corsair iCUE5 Software\crashpad_handler.exe",""
"crashpad_handler","29128","C:\Users\Owner\AppData\Local\VoicemodV3\app\last\crashpad_handler.exe",""
"crashpad_handler","44816",,""
"CrossDeviceResume","13736","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe",""
"CrossDeviceService","13428","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26012.79.0_x64__cw5n1h2txyewy\CrossDeviceService.exe",""
"csrss","1292",,""
"csrss","1432",,""
"ctfmon","18288",,""
"dasHost","9912",,""
"dasHost","10860",,""
"deskfx","16108","C:\Program Files (x86)\NCH Software\DeskFX\deskfx.exe","DeskFX by NCH Software"
"Discord","1248","C:\Users\Owner\AppData\Local\Discord\app-1.0.9228\Discord.exe",""
"Discord","3668","C:\Users\Owner\AppData\Local\Discord\app-1.0.9228\Discord.exe",""
"Discord","10044","C:\Users\Owner\AppData\Local\Discord\app-1.0.9228\Discord.exe",""
"Discord","12304","C:\Users\Owner\AppData\Local\Discord\app-1.0.9228\Discord.exe",""
"Discord","24812","C:\Users\Owner\AppData\Local\Discord\app-1.0.9228\Discord.exe","#dev-feedback | Creation - Discord"
"Discord","29948","C:\Users\Owner\AppData\Local\Discord\app-1.0.9228\Discord.exe",""
"Discord","34140","C:\Users\Owner\AppData\Local\Discord\app-1.0.9228\Discord.exe",""
"dllhost","4180","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","14144","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","14832","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","15112","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","16532","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","18536","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","25140","C:\WINDOWS\SysWOW64\DllHost.exe",""
"dllhost","28488","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","50352","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","55488",,""
"dwm","23136",,""
"explorer","12996","C:\WINDOWS\Explorer.EXE",""
"FL64","9880","D:\FL Studio\FL64.exe","werids.flp - FL Studio 2025"
